Task,Model,Accuracy,BalancedAcc,AUC-ROC,F1,AUC-ROC (OvR),MacroF1
Binary: CN vs MCI+AD,LogReg,0.9894 ± 0.0092,0.9894 ± 0.0104,1.0000 ± 0.0000,0.9920 ± 0.0069,,
Binary: CN vs MCI+AD,SVM,0.9841 ± 0.0159,0.9792 ± 0.0209,0.9993 ± 0.0012,0.9874 ± 0.0125,,
Binary: CN vs MCI+AD,XGBoost,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,,
Multi-class: CN / MCI / AD,LogReg,0.9577 ± 0.0242,0.9222 ± 0.0562,,,0.9699 ± 0.0218,0.8914 ± 0.0753
Multi-class: CN / MCI / AD,SVM,0.9418 ± 0.0243,0.8229 ± 0.0382,,,0.9857 ± 0.0126,0.8536 ± 0.0536
Multi-class: CN / MCI / AD,XGBoost,0.9577 ± 0.0331,0.8695 ± 0.0736,,,0.9864 ± 0.0143,0.8705 ± 0.1178
Conversion to AD within 3 years,LogReg,0.9150 ± 0.0149,0.8776 ± 0.0692,0.9353 ± 0.0723,0.6996 ± 0.0779,,
Conversion to AD within 3 years,SVM,0.8982 ± 0.0312,0.8299 ± 0.0947,0.9513 ± 0.0119,0.6355 ± 0.1179,,
Conversion to AD within 3 years,XGBoost,0.8922 ± 0.0061,0.7152 ± 0.1176,0.9641 ± 0.0128,0.4986 ± 0.1707,,
Conversion to AD within 5 years,LogReg,0.8860 ± 0.0135,0.8792 ± 0.0933,0.9344 ± 0.0739,0.7096 ± 0.1093,,
Conversion to AD within 5 years,SVM,0.8637 ± 0.0289,0.8525 ± 0.0878,0.9523 ± 0.0404,0.6679 ± 0.1231,,
Conversion to AD within 5 years,XGBoost,0.9143 ± 0.0199,0.8463 ± 0.0744,0.9427 ± 0.0398,0.7360 ± 0.1106,,
Conversion to AD within 10 years,LogReg,0.8464 ± 0.0195,0.8212 ± 0.0529,0.8838 ± 0.0443,0.6827 ± 0.1201,,
Conversion to AD within 10 years,SVM,0.8244 ± 0.0307,0.8023 ± 0.0302,0.8515 ± 0.0322,0.6571 ± 0.0501,,
Conversion to AD within 10 years,XGBoost,0.8804 ± 0.0361,0.8199 ± 0.0436,0.8665 ± 0.0515,0.7180 ± 0.1273,,
