feature,mean_abs_shap,std_abs_shap
ADAS_Total13,0.9619279,0.10340955
MoCA_Total,0.6617536,0.22896552
FAQ_Total,0.62690544,0.14562263
AVLT_ListB_Err,0.5402364,0.099307165
CSF_Abeta_bl,0.4590104,0.034949638
AVLT_T6,0.4516896,0.110568754
CSF_pTau_bl,0.29673335,0.06243472
TrailsA_Time,0.26038176,0.12088838
AVLT_Delay30,0.21339428,0.11086387
Education_Years,0.20396172,0.07767349
YOB,0.20104015,0.08924769
AVLT_T5,0.19810987,0.043182112
CSF_Tau_bl,0.19524823,0.08543828
CategoryFluency_Animals_Total,0.19268511,0.027771968
AVLT_ListB,0.18297903,0.047300335
TrailsB_Time,0.17523994,0.052020293
TrailsB_ErrCom,0.17092876,0.05491999
APOE4_Status,0.116338216,0.03948357
CategoryFluency_Animals_Pers,0.11274376,0.033276513
FAQGAME,0.10288169,0.044926684
AVLT_T4,0.094455935,0.03922902
AVLT_Recognition,0.09251938,0.0751134
MMSE_Total,0.08881844,0.047684167
GDS_Total,0.07650048,0.027932582
AVLT_T1_Err,0.07627425,0.015640007
AVLT_T1,0.06880707,0.055483185
Hachinski_Score,0.06474364,0.044518277
AVLT_T2,0.056387525,0.06502764
AVLT_Delay30_Err,0.055872217,0.023029532
AVLT_T2_Err,0.053302944,0.069260284
APOE_Alleles,0.04836875,0.065211855
Retired,0.04380719,0.06426297
AVLT_T3_Err,0.04188821,0.009056008
AVLT_Recognition_Err,0.0325521,0.008594071
CDT_Total,0.018618912,0.016504351
AVLT_T3,0.018216219,0.017704496
AVLT_T4_Err,0.0181794,0.014535715
AVLT_T5_Err,0.01794905,0.0125579685
FAQMEAL,0.014345211,0.007689407
AVLT_T6_Err,0.0143412715,0.013600979
FAQTRAVL,0.013988912,0.010155792
FAQEVENT,0.012207069,0.011499677
Marital_Status,0.010567448,0.010841533
FAQREM,0.008284625,0.002969668
Handedness,0.0068862964,0.00986223
FAQFINAN,0.0061355443,0.010627074
FAQSHOP,0.0053624515,0.006802436
FAQTV,0.005318653,0.0032492292
FAQFORM,0.0049706115,0.0023606531
Sex,0.0024504685,0.0029136485
Language,0.0,0.0
Residence,0.0,0.0
CategoryFluency_Animals_Intr,0.0,0.0
Depression_Binary,0.0,0.0
Ethnicity,0.0,0.0
APOE4_Dosage,0.0,0.0
TrailsB_ErrOm,0.0,0.0
TrailsA_ErrCom,0.0,0.0
TrailsA_ErrOm,0.0,0.0
FAQBEVG,0.0,0.0
