feature,mean_abs_shap,std_abs_shap
YOB,0.5557199,0.13355552
AVLT_Delay30_Err,0.30794978,0.100443326
MoCA_Total,0.30486938,0.083787486
TrailsB_Time,0.30248538,0.083383575
CSF_Tau_bl,0.2945753,0.17857432
CSF_pTau_bl,0.2670778,0.10016536
TrailsA_Time,0.2639455,0.07832157
CSF_Abeta_bl,0.25566632,0.04210254
AVLT_T6,0.21538575,0.15512745
AVLT_T1,0.19673778,0.102810346
MMSE_Total,0.1734909,0.14156571
AVLT_T3,0.16242017,0.12631218
AVLT_ListB,0.16132013,0.1318483
ADAS_Total13,0.15691294,0.012216841
AVLT_T4,0.15176441,0.08550797
Education_Years,0.13397424,0.058363374
CategoryFluency_Animals_Total,0.132519,0.03656306
APOE4_Status,0.12867558,0.05545871
AVLT_Recognition_Err,0.12835516,0.15876219
Sex,0.12701534,0.14597085
AVLT_T5,0.11560633,0.041044597
AVLT_T2,0.112375766,0.10232237
AVLT_Recognition,0.105188064,0.098693855
APOE_Alleles,0.10317469,0.12077914
GDS_Total,0.08290265,0.016261548
Marital_Status,0.081970766,0.06771304
AVLT_T4_Err,0.07480814,0.060386043
AVLT_T3_Err,0.055502802,0.048983052
AVLT_ListB_Err,0.053762328,0.039133355
AVLT_Delay30,0.053273607,0.023433615
CategoryFluency_Animals_Pers,0.044057872,0.0074753757
Ethnicity,0.042687416,0.073936775
AVLT_T1_Err,0.034777947,0.044442147
Hachinski_Score,0.03405733,0.023510737
TrailsB_ErrCom,0.027345322,0.026492381
CDT_Total,0.02693596,0.022739071
AVLT_T6_Err,0.02645947,0.009537833
AVLT_T2_Err,0.02425056,0.0103717735
Retired,0.010138508,0.015287213
FAQ_Total,0.0016590353,0.0028735336
AVLT_T5_Err,0.0013939027,0.0024143104
Residence,0.0,0.0
Handedness,0.0,0.0
APOE4_Dosage,0.0,0.0
CategoryFluency_Animals_Intr,0.0,0.0
Depression_Binary,0.0,0.0
Language,0.0,0.0
TrailsA_ErrOm,0.0,0.0
TrailsB_ErrOm,0.0,0.0
FAQFINAN,0.0,0.0
FAQFORM,0.0,0.0
TrailsA_ErrCom,0.0,0.0
FAQSHOP,0.0,0.0
FAQGAME,0.0,0.0
FAQMEAL,0.0,0.0
FAQBEVG,0.0,0.0
FAQEVENT,0.0,0.0
FAQTV,0.0,0.0
FAQREM,0.0,0.0
FAQTRAVL,0.0,0.0
