feature,mean_abs_shap,std_abs_shap
MMSE_Total,2.4054592,0.09537544
ADAS_Total13,1.9798365,0.11140011
FAQ_Total,1.3230166,0.09440688
GDS_Total,0.89763,0.07071622
YOB,0.6957137,0.067150295
TrailsA_Time,0.43840656,0.07707718
CategoryFluency_Animals_Total,0.39484644,0.011656858
TrailsB_Time,0.384475,0.081626184
FAQSHOP,0.32660398,0.05091364
FAQTV,0.3231354,0.066068575
AVLT_Recognition,0.30789182,0.08574788
AVLT_T6,0.2999117,0.21354388
AVLT_T1,0.28371087,0.06593385
FAQFORM,0.2315178,0.09761839
MoCA_Total,0.23082285,0.077114016
CSF_Abeta_bl,0.21901666,0.11153034
AVLT_ListB,0.2165762,0.037740633
Education_Years,0.193735,0.10689258
AVLT_T4,0.19313668,0.041497782
AVLT_T2,0.18418998,0.103854544
AVLT_T2_Err,0.18321264,0.037506033
AVLT_Recognition_Err,0.16802478,0.13489302
CSF_pTau_bl,0.16079843,0.036459353
CSF_Tau_bl,0.15825404,0.07528608
AVLT_Delay30_Err,0.15347491,0.033084743
AVLT_T3,0.13874581,0.09904472
CategoryFluency_Animals_Pers,0.13334365,0.06863204
AVLT_ListB_Err,0.11010921,0.071047634
AVLT_T5,0.10432129,0.015025098
Retired,0.09574705,0.034869596
TrailsB_ErrCom,0.0734211,0.035843655
APOE4_Status,0.06950189,0.017243916
Ethnicity,0.064957075,0.041142162
AVLT_T1_Err,0.06342108,0.096306324
AVLT_T6_Err,0.06178805,0.032216452
AVLT_Delay30,0.06104598,0.04004786
FAQGAME,0.059063237,0.0271161
Marital_Status,0.05731233,0.010315463
FAQREM,0.05166945,0.020881252
AVLT_T5_Err,0.048189018,0.047471937
Sex,0.04111071,0.028278165
CDT_Total,0.03393656,0.022314977
Hachinski_Score,0.033200685,0.01215504
AVLT_T3_Err,0.032806616,0.012332806
TrailsA_ErrCom,0.020208424,0.01503174
FAQEVENT,0.016201884,0.006021284
FAQTRAVL,0.014694563,0.011382411
FAQFINAN,0.01198445,0.0065774727
APOE_Alleles,0.011000509,0.011885765
Handedness,0.0074230493,0.012080326
AVLT_T4_Err,0.003378921,0.003106938
TrailsB_ErrOm,0.0029973956,0.0026538603
FAQMEAL,0.00083484914,0.0010251087
FAQBEVG,0.00029627353,0.00051316083
CategoryFluency_Animals_Intr,0.0,0.0
APOE4_Dosage,0.0,0.0
Residence,0.0,0.0
Depression_Binary,0.0,0.0
Language,0.0,0.0
TrailsA_ErrOm,0.0,0.0
