region,cell_type_label,biosample_type,biosample_life_stage,ontology_curie,biosample_name,output_type,data_source,histone_mark,transcription_factor,track_name,included_in_run,exclusion_reason
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,ATAC,encode,,,CL:0000100 ATAC-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),primary_cell,,CL:0000047,neuronal stem cell,CAGE,fantom,,,hCAGE CL:0000047,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuron (generic),primary_cell,,CL:0000540,neuron,CAGE,fantom,,,hCAGE CL:0000540,False,"cell type, no brain-region anchor — DROPPED per spec"
—,oligodendrocyte precursor cell (generic),primary_cell,,CL:0002453,oligodendrocyte precursor cell,CAGE,fantom,,,hCAGE CL:0002453,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the cerebellum,primary_cell,,CL:0002603,astrocyte of the cerebellum,CAGE,fantom,,,hCAGE CL:0002603,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the cerebral cortex,primary_cell,,CL:0002605,astrocyte of the cerebral cortex,CAGE,fantom,,,hCAGE CL:0002605,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,bulk tissue (all cells),tissue,,UBERON:0001954,Ammon's horn,CAGE,fantom,,,hCAGE UBERON:0001954,True,
—,neuronal stem cell (in vitro),primary_cell,,CL:0000047,neuronal stem cell,CAGE,fantom,,,hCAGE CL:0000047,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuron (generic),primary_cell,,CL:0000540,neuron,CAGE,fantom,,,hCAGE CL:0000540,False,"cell type, no brain-region anchor — DROPPED per spec"
—,oligodendrocyte precursor cell (generic),primary_cell,,CL:0002453,oligodendrocyte precursor cell,CAGE,fantom,,,hCAGE CL:0002453,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the cerebellum,primary_cell,,CL:0002603,astrocyte of the cerebellum,CAGE,fantom,,,hCAGE CL:0002603,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the cerebral cortex,primary_cell,,CL:0002605,astrocyte of the cerebral cortex,CAGE,fantom,,,hCAGE CL:0002605,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,bulk tissue (all cells),tissue,,UBERON:0001954,Ammon's horn,CAGE,fantom,,,hCAGE UBERON:0001954,True,
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,DNASE,encode,,,CL:0000047 DNase-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,DNASE,encode,,,CL:0000127 DNase-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,adult,CL:0000679,glutamatergic neuron,DNASE,encode,,,CL:0000679 DNase-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte of the cerebellum,primary_cell,unknown,CL:0002603,astrocyte of the cerebellum,DNASE,encode,,,CL:0002603 DNase-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,astrocyte of the hippocampus,primary_cell,unknown,CL:0002604,astrocyte of the hippocampus,DNASE,encode,,,CL:0002604 DNase-seq,True,
—,astrocyte of the spinal cord,primary_cell,unknown,CL:0002606,astrocyte of the spinal cord,DNASE,encode,,,CL:0002606 DNase-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,bulk tissue (all cells),tissue,adult,UBERON:0001954,Ammon's horn,DNASE,encode,,,UBERON:0001954 DNase-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,DNASE,encode,,,UBERON:0009834 DNase-seq,True,
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,RNA_SEQ,encode,,,CL:0000047 polyA plus RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,RNA_SEQ,encode,,,CL:0000127 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,adult,CL:0000679,glutamatergic neuron,RNA_SEQ,encode,,,CL:0000679 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,RNA_SEQ,encode,,,UBERON:0009834 total RNA-seq,True,
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,RNA_SEQ,encode,,,CL:0000047 polyA plus RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,astrocyte (generic),primary_cell,unknown,CL:0000127,astrocyte,RNA_SEQ,encode,,,CL:0000127 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
—,glutamatergic neuron (in vitro),in_vitro_differentiated_cells,adult,CL:0000679,glutamatergic neuron,RNA_SEQ,encode,,,CL:0000679 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,RNA_SEQ,encode,,,UBERON:0009834 total RNA-seq,True,
—,motor neuron (spinal-cord lineage),in_vitro_differentiated_cells,adult,CL:0000100,motor neuron,RNA_SEQ,encode,,,CL:0000100 total RNA-seq,False,"cell type, no brain-region anchor — DROPPED per spec"
Hippocampus,bulk tissue (all cells),tissue,adult,UBERON:0001954,Ammon's horn,RNA_SEQ,gtex,,,UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq,True,
DLPFC,bulk tissue (all cells),tissue,adult,UBERON:0009834,dorsolateral prefrontal cortex,RNA_SEQ,gtex,,,UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq,True,
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H2AFZ,,CL:0000047 Histone ChIP-seq H2AFZ,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H2AK5ac,,CL:0000047 Histone ChIP-seq H2AK5ac,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H2BK5ac,,CL:0000047 Histone ChIP-seq H2BK5ac,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K18ac,,CL:0000047 Histone ChIP-seq H3K18ac,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K27ac,,CL:0000047 Histone ChIP-seq H3K27ac,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K27me3,,CL:0000047 Histone ChIP-seq H3K27me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K36me3,,CL:0000047 Histone ChIP-seq H3K36me3,False,"cell type, no brain-region anchor — DROPPED per spec"
—,neuronal stem cell (in vitro),in_vitro_differentiated_cells,embryonic,CL:0000047,neuronal stem cell,CHIP_HISTONE,encode,H3K4me1,,CL:0000047 Histone ChIP-seq H3K4me1,False,"cell type, no brain-region anchor — DROPPED per spec"
