ontology_curie,biosample_name,biosample_type,biosample_life_stage,row_label,output_short,data_source,histone_mark,transcription_factor,name
UBERON:0001954,Ammon's horn,tissue,,Hippocampus (bulk tissue),CAGE,fantom,,,hCAGE UBERON:0001954
UBERON:0001954,Ammon's horn,tissue,,Hippocampus (bulk tissue),CAGE,fantom,,,hCAGE UBERON:0001954
CL:0002604,astrocyte of the hippocampus,primary_cell,unknown,astrocyte of the hippocampus,DNASE,encode,,,CL:0002604 DNase-seq
UBERON:0001954,Ammon's horn,tissue,adult,Hippocampus (bulk tissue),DNASE,encode,,,UBERON:0001954 DNase-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),DNASE,encode,,,UBERON:0009834 DNase-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),RNA_SEQ,encode,,,UBERON:0009834 total RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),RNA_SEQ,encode,,,UBERON:0009834 total RNA-seq
UBERON:0001954,Ammon's horn,tissue,adult,Hippocampus (bulk tissue),RNA_SEQ,gtex,,,UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),RNA_SEQ,gtex,,,UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq
UBERON:0002305,layer of hippocampus,tissue,adult,Layer of hippocampus (bulk tissue),CHIP_HISTONE,encode,H3K27ac,,UBERON:0002305 Histone ChIP-seq H3K27ac
UBERON:0002305,layer of hippocampus,tissue,adult,Layer of hippocampus (bulk tissue),CHIP_HISTONE,encode,H3K36me3,,UBERON:0002305 Histone ChIP-seq H3K36me3
UBERON:0002305,layer of hippocampus,tissue,adult,Layer of hippocampus (bulk tissue),CHIP_HISTONE,encode,H3K4me1,,UBERON:0002305 Histone ChIP-seq H3K4me1
UBERON:0002305,layer of hippocampus,tissue,adult,Layer of hippocampus (bulk tissue),CHIP_HISTONE,encode,H3K4me3,,UBERON:0002305 Histone ChIP-seq H3K4me3
UBERON:0002305,layer of hippocampus,tissue,adult,Layer of hippocampus (bulk tissue),CHIP_HISTONE,encode,H3K9ac,,UBERON:0002305 Histone ChIP-seq H3K9ac
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),CHIP_HISTONE,encode,H3K27ac,,UBERON:0009834 Histone ChIP-seq H3K27ac
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),CHIP_HISTONE,encode,H3K27me3,,UBERON:0009834 Histone ChIP-seq H3K27me3
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),CHIP_HISTONE,encode,H3K36me3,,UBERON:0009834 Histone ChIP-seq H3K36me3
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),CHIP_HISTONE,encode,H3K4me1,,UBERON:0009834 Histone ChIP-seq H3K4me1
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),CHIP_HISTONE,encode,H3K4me3,,UBERON:0009834 Histone ChIP-seq H3K4me3
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),CHIP_HISTONE,encode,H3K9ac,,UBERON:0009834 Histone ChIP-seq H3K9ac
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),CHIP_TF,encode,,CTCF,UBERON:0009834 TF ChIP-seq CTCF
UBERON:0001954,Ammon's horn,tissue,adult,Hippocampus (bulk tissue),SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),SPLICE_SITE_USAGE,encode,,,usage_UBERON:0009834 total RNA-seq
UBERON:0001954,Ammon's horn,tissue,adult,Hippocampus (bulk tissue),SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),SPLICE_SITE_USAGE,gtex,,,usage_UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),SPLICE_SITE_USAGE,encode,,,usage_UBERON:0009834 total RNA-seq
UBERON:0001954,Ammon's horn,tissue,adult,Hippocampus (bulk tissue),SPLICE_JUNCTIONS,gtex,,,junction_UBERON:0001954 gtex Brain_Hippocampus polyA plus RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),SPLICE_JUNCTIONS,gtex,,,junction_UBERON:0009834 gtex Brain_Frontal_Cortex_BA9 polyA plus RNA-seq
UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,DLPFC (bulk tissue),SPLICE_JUNCTIONS,encode,,,junction_UBERON:0009834 total RNA-seq
